"site","year","TRT","class","count","clickr","site_year","percent","tier1","tier2","tier3"
"127","1510","BYSP","Caulerpa",6,"CA","127_1510",1.94174757281553,"noncalcifying","other.noncalcifying","other.noncalcifying"
"129","1510","REM","Caulerpa",5,"CA","129_1510",1.68918918918919,"noncalcifying","other.noncalcifying","other.noncalcifying"
"101","1606","REM","Caulerpa",4,"CA","101_1606",1.36054421768707,"noncalcifying","other.noncalcifying","other.noncalcifying"
"109","1606","RAN","Caulerpa",1,"CA","109_1606",0.318471337579618,"noncalcifying","other.noncalcifying","other.noncalcifying"
"111","1606","REM","Caulerpa",5,"CA","111_1606",1.6025641025641,"noncalcifying","other.noncalcifying","other.noncalcifying"
"113","1606","XSP","Caulerpa",5,"CA","113_1606",1.63934426229508,"noncalcifying","other.noncalcifying","other.noncalcifying"
"115","1606","BYSP","Caulerpa",4,"CA","115_1606",1.42857142857143,"noncalcifying","other.noncalcifying","other.noncalcifying"
"117","1606","RAN","Caulerpa",2,"CA","117_1606",0.689655172413793,"noncalcifying","other.noncalcifying","other.noncalcifying"
"121","1606","CON","Caulerpa",1,"CA","121_1606",0.363636363636364,"noncalcifying","other.noncalcifying","other.noncalcifying"
"123","1606","XSP","Caulerpa",1,"CA","123_1606",0.344827586206897,"noncalcifying","other.noncalcifying","other.noncalcifying"
"125","1606","CON","Caulerpa",6,"CA","125_1606",1.92926045016077,"noncalcifying","other.noncalcifying","other.noncalcifying"
"129","1606","REM","Caulerpa",4,"CA","129_1606",1.36518771331058,"noncalcifying","other.noncalcifying","other.noncalcifying"
"101","1609","REM","Caulerpa",1,"CA","101_1609",0.333333333333333,"noncalcifying","other.noncalcifying","other.noncalcifying"
"105","1609","BYSP","Caulerpa",2,"CA","105_1609",0.677966101694915,"noncalcifying","other.noncalcifying","other.noncalcifying"
"109","1609","RAN","Caulerpa",3,"CA","109_1609",0.952380952380952,"noncalcifying","other.noncalcifying","other.noncalcifying"
"111","1609","REM","Caulerpa",5,"CA","111_1609",1.6025641025641,"noncalcifying","other.noncalcifying","other.noncalcifying"
"113","1609","XSP","Caulerpa",3,"CA","113_1609",1.01010101010101,"noncalcifying","other.noncalcifying","other.noncalcifying"
"115","1609","BYSP","Caulerpa",2,"CA","115_1609",0.701754385964912,"noncalcifying","other.noncalcifying","other.noncalcifying"
"117","1609","RAN","Caulerpa",2,"CA","117_1609",0.675675675675676,"noncalcifying","other.noncalcifying","other.noncalcifying"
"119","1609","CON","Caulerpa",2,"CA","119_1609",0.641025641025641,"noncalcifying","other.noncalcifying","other.noncalcifying"
"121","1609","CON","Caulerpa",2,"CA","121_1609",0.638977635782748,"noncalcifying","other.noncalcifying","other.noncalcifying"
"123","1609","XSP","Caulerpa",4,"CA","123_1609",1.34228187919463,"noncalcifying","other.noncalcifying","other.noncalcifying"
"125","1609","CON","Caulerpa",3,"CA","125_1609",0.974025974025974,"noncalcifying","other.noncalcifying","other.noncalcifying"
"127","1609","BYSP","Caulerpa",10,"CA","127_1609",3.36700336700337,"noncalcifying","other.noncalcifying","other.noncalcifying"
"129","1609","REM","Caulerpa",4,"CA","129_1609",1.35593220338983,"noncalcifying","other.noncalcifying","other.noncalcifying"
"103","1809","RAN","Caulerpa",1,"CA","103_1809",0.33003300330033,"noncalcifying","other.noncalcifying","other.noncalcifying"
"101","1408","REM","CCA",2,"CA","101_1408",0.746268656716418,"calcifying","calcifying.algae","CCA"
"103","1408","RAN","CCA",13,"CA","103_1408",6.16113744075829,"calcifying","calcifying.algae","CCA"
"105","1408","BYSP","CCA",3,"CA","105_1408",1.15384615384615,"calcifying","calcifying.algae","CCA"
"107","1408","XSP","CCA",30,"CA","107_1408",11.3207547169811,"calcifying","calcifying.algae","CCA"
"109","1408","RAN","CCA",1,"CA","109_1408",0.36101083032491,"calcifying","calcifying.algae","CCA"
"111","1408","REM","CCA",4,"CA","111_1408",1.56862745098039,"calcifying","calcifying.algae","CCA"
"113","1408","XSP","CCA",1,"CA","113_1408",0.409836065573771,"calcifying","calcifying.algae","CCA"
"115","1408","BYSP","CCA",6,"CA","115_1408",2.13523131672598,"calcifying","calcifying.algae","CCA"
"117","1408","RAN","CCA",26,"CA","117_1408",9.42028985507246,"calcifying","calcifying.algae","CCA"
"123","1408","XSP","CCA",2,"CA","123_1408",0.769230769230769,"calcifying","calcifying.algae","CCA"
"127","1408","BYSP","CCA",1,"CA","127_1408",0.411522633744856,"calcifying","calcifying.algae","CCA"
"129","1408","REM","CCA",3,"CA","129_1408",1.14942528735632,"calcifying","calcifying.algae","CCA"
"115","1409","BYSP","CCA",1,"CA","115_1409",0.383141762452107,"calcifying","calcifying.algae","CCA"
"117","1409","RAN","CCA",2,"CA","117_1409",0.775193798449612,"calcifying","calcifying.algae","CCA"
"127","1409","BYSP","CCA",1,"CA","127_1409",0.403225806451613,"calcifying","calcifying.algae","CCA"
"101","1509","REM","CCA",63,"CA","101_1509",19.9367088607595,"calcifying","calcifying.algae","CCA"
"103","1509","RAN","CCA",43,"CA","103_1509",13.8709677419355,"calcifying","calcifying.algae","CCA"
"105","1509","BYSP","CCA",17,"CA","105_1509",5.72390572390572,"calcifying","calcifying.algae","CCA"
"107","1509","XSP","CCA",77,"CA","107_1509",25.6666666666667,"calcifying","calcifying.algae","CCA"
"109","1509","RAN","CCA",84,"CA","109_1509",27.0967741935484,"calcifying","calcifying.algae","CCA"
"111","1509","REM","CCA",125,"CA","111_1509",40.3225806451613,"calcifying","calcifying.algae","CCA"
"113","1509","XSP","CCA",92,"CA","113_1509",29.7734627831715,"calcifying","calcifying.algae","CCA"
"115","1509","BYSP","CCA",77,"CA","115_1509",27.112676056338,"calcifying","calcifying.algae","CCA"
"117","1509","RAN","CCA",79,"CA","117_1509",27.4305555555556,"calcifying","calcifying.algae","CCA"
"119","1509","CON","CCA",18,"CA","119_1509",5.6782334384858,"calcifying","calcifying.algae","CCA"
"121","1509","CON","CCA",26,"CA","121_1509",8.28025477707006,"calcifying","calcifying.algae","CCA"
"123","1509","XSP","CCA",32,"CA","123_1509",10.8108108108108,"calcifying","calcifying.algae","CCA"
"125","1509","CON","CCA",9,"CA","125_1509",2.89389067524116,"calcifying","calcifying.algae","CCA"
"127","1509","BYSP","CCA",104,"CA","127_1509",33.2268370607029,"calcifying","calcifying.algae","CCA"
"129","1509","REM","CCA",133,"CA","129_1509",45.7044673539519,"calcifying","calcifying.algae","CCA"
"101","1510","REM","CCA",59,"CA","101_1510",19.8653198653199,"calcifying","calcifying.algae","CCA"
"103","1510","RAN","CCA",17,"CA","103_1510",5.48387096774194,"calcifying","calcifying.algae","CCA"
"105","1510","BYSP","CCA",6,"CA","105_1510",2.04778156996587,"calcifying","calcifying.algae","CCA"
"107","1510","XSP","CCA",45,"CA","107_1510",15.1515151515152,"calcifying","calcifying.algae","CCA"
"109","1510","RAN","CCA",63,"CA","109_1510",20.655737704918,"calcifying","calcifying.algae","CCA"
"111","1510","REM","CCA",119,"CA","111_1510",38.3870967741935,"calcifying","calcifying.algae","CCA"
"113","1510","XSP","CCA",68,"CA","113_1510",22.6666666666667,"calcifying","calcifying.algae","CCA"
"115","1510","BYSP","CCA",66,"CA","115_1510",20.7547169811321,"calcifying","calcifying.algae","CCA"
"117","1510","RAN","CCA",51,"CA","117_1510",17.2297297297297,"calcifying","calcifying.algae","CCA"
"119","1510","CON","CCA",18,"CA","119_1510",5.6782334384858,"calcifying","calcifying.algae","CCA"
"121","1510","CON","CCA",26,"CA","121_1510",8.28025477707006,"calcifying","calcifying.algae","CCA"
"123","1510","XSP","CCA",26,"CA","123_1510",8.69565217391304,"calcifying","calcifying.algae","CCA"
"125","1510","CON","CCA",9,"CA","125_1510",2.89389067524116,"calcifying","calcifying.algae","CCA"
"127","1510","BYSP","CCA",95,"CA","127_1510",30.7443365695793,"calcifying","calcifying.algae","CCA"
"129","1510","REM","CCA",117,"CA","129_1510",39.527027027027,"calcifying","calcifying.algae","CCA"
"101","1606","REM","CCA",39,"CA","101_1606",13.265306122449,"calcifying","calcifying.algae","CCA"
"103","1606","RAN","CCA",11,"CA","103_1606",3.51437699680511,"calcifying","calcifying.algae","CCA"
"105","1606","BYSP","CCA",2,"CA","105_1606",0.671140939597315,"calcifying","calcifying.algae","CCA"
"107","1606","XSP","CCA",25,"CA","107_1606",8.27814569536424,"calcifying","calcifying.algae","CCA"
"109","1606","RAN","CCA",57,"CA","109_1606",18.1528662420382,"calcifying","calcifying.algae","CCA"
"111","1606","REM","CCA",123,"CA","111_1606",39.4230769230769,"calcifying","calcifying.algae","CCA"
"113","1606","XSP","CCA",37,"CA","113_1606",12.1311475409836,"calcifying","calcifying.algae","CCA"
"115","1606","BYSP","CCA",42,"CA","115_1606",15,"calcifying","calcifying.algae","CCA"
"117","1606","RAN","CCA",46,"CA","117_1606",15.8620689655172,"calcifying","calcifying.algae","CCA"
"119","1606","CON","CCA",23,"CA","119_1606",7.32484076433121,"calcifying","calcifying.algae","CCA"
"121","1606","CON","CCA",38,"CA","121_1606",13.8181818181818,"calcifying","calcifying.algae","CCA"
"123","1606","XSP","CCA",17,"CA","123_1606",5.86206896551724,"calcifying","calcifying.algae","CCA"
"125","1606","CON","CCA",79,"CA","125_1606",25.4019292604502,"calcifying","calcifying.algae","CCA"
"127","1606","BYSP","CCA",85,"CA","127_1606",28.2392026578073,"calcifying","calcifying.algae","CCA"
"129","1606","REM","CCA",87,"CA","129_1606",29.6928327645051,"calcifying","calcifying.algae","CCA"
"101","1609","REM","CCA",39,"CA","101_1609",13,"calcifying","calcifying.algae","CCA"
"103","1609","RAN","CCA",10,"CA","103_1609",3.19488817891374,"calcifying","calcifying.algae","CCA"
"105","1609","BYSP","CCA",15,"CA","105_1609",5.08474576271187,"calcifying","calcifying.algae","CCA"
"107","1609","XSP","CCA",51,"CA","107_1609",17.1717171717172,"calcifying","calcifying.algae","CCA"
"109","1609","RAN","CCA",113,"CA","109_1609",35.8730158730159,"calcifying","calcifying.algae","CCA"
"111","1609","REM","CCA",123,"CA","111_1609",39.4230769230769,"calcifying","calcifying.algae","CCA"
"113","1609","XSP","CCA",55,"CA","113_1609",18.5185185185185,"calcifying","calcifying.algae","CCA"
"115","1609","BYSP","CCA",61,"CA","115_1609",21.4035087719298,"calcifying","calcifying.algae","CCA"
"117","1609","RAN","CCA",52,"CA","117_1609",17.5675675675676,"calcifying","calcifying.algae","CCA"
"119","1609","CON","CCA",33,"CA","119_1609",10.5769230769231,"calcifying","calcifying.algae","CCA"
"121","1609","CON","CCA",31,"CA","121_1609",9.90415335463259,"calcifying","calcifying.algae","CCA"
"123","1609","XSP","CCA",17,"CA","123_1609",5.70469798657718,"calcifying","calcifying.algae","CCA"
"125","1609","CON","CCA",102,"CA","125_1609",33.1168831168831,"calcifying","calcifying.algae","CCA"
"127","1609","BYSP","CCA",87,"CA","127_1609",29.2929292929293,"calcifying","calcifying.algae","CCA"
"129","1609","REM","CCA",112,"CA","129_1609",37.9661016949153,"calcifying","calcifying.algae","CCA"
"101","1709","REM","CCA",148,"CA","101_1709",50.5119453924915,"calcifying","calcifying.algae","CCA"
"103","1709","RAN","CCA",60,"CA","103_1709",19.8675496688742,"calcifying","calcifying.algae","CCA"
"105","1709","BYSP","CCA",64,"CA","105_1709",22.3776223776224,"calcifying","calcifying.algae","CCA"
"107","1709","XSP","CCA",95,"CA","107_1709",29.4117647058824,"calcifying","calcifying.algae","CCA"
"109","1709","RAN","CCA",74,"CA","109_1709",23.1974921630094,"calcifying","calcifying.algae","CCA"
"111","1709","REM","CCA",132,"CA","111_1709",45.5172413793103,"calcifying","calcifying.algae","CCA"
"113","1709","XSP","CCA",101,"CA","113_1709",33.1147540983607,"calcifying","calcifying.algae","CCA"
"115","1709","BYSP","CCA",59,"CA","115_1709",20.8480565371025,"calcifying","calcifying.algae","CCA"
"117","1709","RAN","CCA",84,"CA","117_1709",28.3783783783784,"calcifying","calcifying.algae","CCA"
"119","1709","CON","CCA",120,"CA","119_1709",38.2165605095541,"calcifying","calcifying.algae","CCA"
"121","1709","CON","CCA",156,"CA","121_1709",50.3225806451613,"calcifying","calcifying.algae","CCA"
"123","1709","XSP","CCA",41,"CA","123_1709",13.7123745819398,"calcifying","calcifying.algae","CCA"
"125","1709","CON","CCA",127,"CA","125_1709",41.1003236245955,"calcifying","calcifying.algae","CCA"
"127","1709","BYSP","CCA",97,"CA","127_1709",32.3333333333333,"calcifying","calcifying.algae","CCA"
"129","1709","REM","CCA",122,"CA","129_1709",41.6382252559727,"calcifying","calcifying.algae","CCA"
"101","1809","REM","CCA",80,"CA","101_1809",26.8456375838926,"calcifying","calcifying.algae","CCA"
"103","1809","RAN","CCA",75,"CA","103_1809",24.7524752475248,"calcifying","calcifying.algae","CCA"
"105","1809","BYSP","CCA",38,"CA","105_1809",13.2867132867133,"calcifying","calcifying.algae","CCA"
"107","1809","XSP","CCA",56,"CA","107_1809",19.1126279863481,"calcifying","calcifying.algae","CCA"
"109","1809","RAN","CCA",60,"CA","109_1809",19.1693290734824,"calcifying","calcifying.algae","CCA"
"111","1809","REM","CCA",105,"CA","111_1809",34.4262295081967,"calcifying","calcifying.algae","CCA"
"113","1809","XSP","CCA",57,"CA","113_1809",18.8118811881188,"calcifying","calcifying.algae","CCA"
"115","1809","BYSP","CCA",70,"CA","115_1809",22.7272727272727,"calcifying","calcifying.algae","CCA"
"117","1809","RAN","CCA",50,"CA","117_1809",16.5016501650165,"calcifying","calcifying.algae","CCA"
"119","1809","CON","CCA",94,"CA","119_1809",32.6388888888889,"calcifying","calcifying.algae","CCA"
"121","1809","CON","CCA",110,"CA","121_1809",36.3036303630363,"calcifying","calcifying.algae","CCA"
"123","1809","XSP","CCA",14,"CA","123_1809",4.77815699658703,"calcifying","calcifying.algae","CCA"
"125","1809","CON","CCA",77,"CA","125_1809",25.5813953488372,"calcifying","calcifying.algae","CCA"
"127","1809","BYSP","CCA",62,"CA","127_1809",21.830985915493,"calcifying","calcifying.algae","CCA"
"129","1809","REM","CCA",55,"CA","129_1809",18.2119205298013,"calcifying","calcifying.algae","CCA"
"101","1408","REM","Corallimorph",198,"CA","101_1408",73.8805970149254,"noncalcifying","Corallimorph","Corallimorph"
"103","1408","RAN","Corallimorph",122,"CA","103_1408",57.8199052132701,"noncalcifying","Corallimorph","Corallimorph"
"105","1408","BYSP","Corallimorph",140,"CA","105_1408",53.8461538461538,"noncalcifying","Corallimorph","Corallimorph"
"107","1408","XSP","Corallimorph",164,"CA","107_1408",61.8867924528302,"noncalcifying","Corallimorph","Corallimorph"
"109","1408","RAN","Corallimorph",250,"CA","109_1408",90.2527075812274,"noncalcifying","Corallimorph","Corallimorph"
"111","1408","REM","Corallimorph",198,"CA","111_1408",77.6470588235294,"noncalcifying","Corallimorph","Corallimorph"
"113","1408","XSP","Corallimorph",178,"CA","113_1408",72.9508196721311,"noncalcifying","Corallimorph","Corallimorph"
"115","1408","BYSP","Corallimorph",226,"CA","115_1408",80.4270462633452,"noncalcifying","Corallimorph","Corallimorph"
"117","1408","RAN","Corallimorph",149,"CA","117_1408",53.9855072463768,"noncalcifying","Corallimorph","Corallimorph"
"123","1408","XSP","Corallimorph",181,"CA","123_1408",69.6153846153846,"noncalcifying","Corallimorph","Corallimorph"
"127","1408","BYSP","Corallimorph",178,"CA","127_1408",73.2510288065844,"noncalcifying","Corallimorph","Corallimorph"
"129","1408","REM","Corallimorph",230,"CA","129_1408",88.1226053639847,"noncalcifying","Corallimorph","Corallimorph"
"101","1409","REM","Corallimorph",1,"CA","101_1409",0.392156862745098,"noncalcifying","Corallimorph","Corallimorph"
"119","1409","CON","Corallimorph",215,"CA","119_1409",85.3174603174603,"noncalcifying","Corallimorph","Corallimorph"
"121","1409","CON","Corallimorph",209,"CA","121_1409",75.4512635379061,"noncalcifying","Corallimorph","Corallimorph"
"125","1409","CON","Corallimorph",242,"CA","125_1409",92.3664122137405,"noncalcifying","Corallimorph","Corallimorph"
"101","1509","REM","Corallimorph",7,"CA","101_1509",2.21518987341772,"noncalcifying","Corallimorph","Corallimorph"
"103","1509","RAN","Corallimorph",8,"CA","103_1509",2.58064516129032,"noncalcifying","Corallimorph","Corallimorph"
"105","1509","BYSP","Corallimorph",4,"CA","105_1509",1.34680134680135,"noncalcifying","Corallimorph","Corallimorph"
"107","1509","XSP","Corallimorph",2,"CA","107_1509",0.666666666666667,"noncalcifying","Corallimorph","Corallimorph"
"109","1509","RAN","Corallimorph",3,"CA","109_1509",0.967741935483871,"noncalcifying","Corallimorph","Corallimorph"
"111","1509","REM","Corallimorph",4,"CA","111_1509",1.29032258064516,"noncalcifying","Corallimorph","Corallimorph"
"113","1509","XSP","Corallimorph",5,"CA","113_1509",1.61812297734628,"noncalcifying","Corallimorph","Corallimorph"
"115","1509","BYSP","Corallimorph",12,"CA","115_1509",4.22535211267606,"noncalcifying","Corallimorph","Corallimorph"
"117","1509","RAN","Corallimorph",2,"CA","117_1509",0.694444444444444,"noncalcifying","Corallimorph","Corallimorph"
"119","1509","CON","Corallimorph",52,"CA","119_1509",16.403785488959,"noncalcifying","Corallimorph","Corallimorph"
"121","1509","CON","Corallimorph",116,"CA","121_1509",36.9426751592357,"noncalcifying","Corallimorph","Corallimorph"
"125","1509","CON","Corallimorph",206,"CA","125_1509",66.2379421221865,"noncalcifying","Corallimorph","Corallimorph"
"127","1509","BYSP","Corallimorph",3,"CA","127_1509",0.958466453674121,"noncalcifying","Corallimorph","Corallimorph"
"129","1509","REM","Corallimorph",2,"CA","129_1509",0.687285223367698,"noncalcifying","Corallimorph","Corallimorph"
